EventID	Gene	Event Number	Event Type	Genomic Position	Path 1	Path 2	Path Reference
3_1	TC16001330.hg	1	Alternative First Exon	16:87348686-87367492	3-3,3-4,4-4,4-5	1-1,1-2,2-2,2-5	5-5,5-6,6-6,8-8
3_2	TC16001330.hg	2	Alternative 5' Splice Site	16:87369063-87369767	6-7,7-7,7-8	6-8	5-5,5-6,6-6,8-8
3_3	TC16001330.hg	3	Complex Event	16:87369855-87377345	8-9,9-9	8-15	5-5,5-6,6-6,8-8
3_4	TC16001330.hg	4	Alternative Last Exon	16:87377371-87380856	15-16,16-16	17-17	5-5,5-6,6-6,8-8
3_5	TC16001330.hg	5	Complex Event	16:87377272-87380780	15-15	12-17	5-5,5-6,6-6,8-8
3_6	TC16001330.hg	6	Complex Event	16:87377272-87380780	12-13,13-13,13-14	12-17	9-10,10-10,10-11,11-11,11-12,12-12
3_7	TC16001330.hg	7	Complex Event	16:87369867-87377343	9-10,10-10,10-11,11-11,11-12,12-12	9-14	8-9,9-9
3_8	TC16001330.hg	8	Complex Event	16:87377272-87380780	14-14,14-15	12-17	8-9,9-9
3_9	TC16001330.hg	9	Complex Event	16:87369867-87377343	12-13,13-13,13-14	9-14	14-14,14-15
3_10	TC16001330.hg	10	Complex Event	16:87369855-87377345	14-14,14-15	8-15	15-15
3_11	TC16001330.hg	11	Alternative Last Exon	16:87377371-87380780	15-16,16-16	15-17	15-15
3_12	TC16001330.hg	12	Complex Event	16:87377272-87380780	15-17	12-17	17-17
3_13	TC16001330.hg	13	Complex Event	16:87380856-87417011	19-19	17-24	17-17
3_14	TC16001330.hg	14	Cassette Exon	16:87380856-87393901	17-18,18-18,18-19	17-19	19-19
3_15	TC16001330.hg	15	Complex Event	16:87393972-87400979	19-21,21-21,21-22	19-22	22-22
3_16	TC16001330.hg	16	Alternative First Exon	16:87401551-87423343	26-26,26-27	22-27	27-27
3_17	TC16001330.hg	17	Alternative Last Exon	16:87423454-87445125	27-29,29-29	27-28,28-28	27-27
