Affy Gene Id	Gene Name	Event Number	Event Type	Genomic Position	Path 1	Path 2	Path Reference	Probes P1	Probes P2	Probes Ref
TC21001058.hg	TC21001058.hg	1	Complex Event	21:34951723-34953608	7-8,8-8	7-11	6-7,7-7	940848,6523510,5014916,5347464,440820,952795,4166544,5163614,6490502,1401606,4754394,6269059,3886581,3672541,4680558,3356971,1556200,5077910,691276,2336920	1160685,4356007,3185338,6107514	4845538,5164770,4320709,737856,2841950,1092399,6629392,1835116,2366055,3138192,1321544,6888582,4029603,6777109
TC21001058.hg	TC21001058.hg	2	Complex Event	21:34954361-34956896	13-14,14-14	13-16	11-11,11-12,12-12,12-13,13-13	3931672,6845192,3366600,3699566,4562570,2351662,47257,5576274,3095048,2119853,4339397,73313,1403136,3036245	2983142,4020804,6824915,1218804	4296297,1348427,6746382,724574,4704595,1612158,2679083,4233620,6453116,48036,6499143,718644,544843,6106031,3321719,2072893,2306336,4724120,632141,6021940,4499940,2865616,2418996,5096809
TC21001058.hg	TC21001058.hg	3	Complex Event	21:34954552-34956896	14-15,15-15	14-16	13-14,14-14	1752843,6486077,5055127,3567977,6765344,1933638,5080297,4587471,1730919,1243499,3398945,2517885,302597	5467375,27494,1869544,1709600	3931672,6845192,3366600,3699566,4562570,2351662,47257,5576274,3095048,2119853,4339397,73313,1403136,3036245
TC21001058.hg	TC21001058.hg	4	Complex Event	21:34955972-34958284	15-18	15-16	14-15,15-15	3103769,1383858,518803,2475929	1165880,378938,832378,4793965	1752843,6486077,5055127,3567977,6765344,1933638,5080297,4587471,1730919,1243499,3398945,2517885,302597
TC21001058.hg	TC21001058.hg	5	Complex Event	21:34958366-34959828	19-20	18-20	20-20,20-21	4642016,5478860,5144481,1213758	2329221,1142595,1598804,1950768	5057241,3189573,633021,5594048,1555565,5463212,2314475,2738190,2974326,6072635
TC21001058.hg	TC21001058.hg	6	Complex Event	21:34958487-34960627	19-21	19-20	18-19,19-19	723782,821091,1631131,5306099	4642016,5478860,5144481,1213758	2001965,3398584,1008273,6633909,3908645,6631678,2853214,4008625,4448602,3861691
TC21001058.hg	TC21001058.hg	7	Complex Event	21:34950750-34953608	6-7,7-7	6-11	6-6	4845538,5164770,4320709,737856,2841950,1092399,6629392,1835116,2366055,3138192,1321544,6888582,4029603,6777109	3773723,6116479,248089,4906739	329856,5786341,1825618,5856805,3177092,3284441,6854545,6640322,3095005,3842798,884500,4816378,3867749,2956980,1491372,5315869,5351049,6240891,5898206,6547095
TC21001058.hg	TC21001058.hg	8	Alternative 3' Splice Site	21:34957032-34958284	16-17,17-17,17-18	16-18	16-16	906090,6070628,5907321,2018992,3560222,2646597,870009,1063165,3727500,6863434,6550352,767297,3338188,6702186	2474059,5537697,6656187,4064957	6091732,1552187,5818996,2016366,2115785,2984334,5117901,5503949,3070888,2023283,667588,3042190,1664956,6081646,2045953,6438799,6527380,6851952,798238,5496616
TC21001058.hg	TC21001058.hg	9	Complex Event	21:34951868-34956896	11-11,11-12,12-12,12-13,13-13	8-16	18-18,21-21	4296297,1348427,6746382,724574,4704595,1612158,2679083,4233620,6453116,48036,6499143,718644,544843,6106031,3321719,2072893,2306336,4724120,632141,6021940,4499940,2865616,2418996,5096809	1999417,4623982,6176392,98568	3403920,3476431,4722893,2737279,1480543,2287419,3364934,5104883,4695012,1889335,946266,2675085,2064170,5462714,3983692,5768897,4874000,645279,4311673,6592674,1447326,2479457,2707341,3407158,4653632,2895855,679878,6184848,2682243,96214,372846,284467,1496261,3970184,180810,5551669,4732004,2328272,4223243,6884904
TC21001058.hg	TC21001058.hg	10	Complex Event	21:34955972-34958284	16-16	15-18	18-18,21-21	6091732,1552187,5818996,2016366,2115785,2984334,5117901,5503949,3070888,2023283,667588,3042190,1664956,6081646,2045953,6438799,6527380,6851952,798238,5496616	3103769,1383858,518803,2475929	3403920,3476431,4722893,2737279,1480543,2287419,3364934,5104883,4695012,1889335,946266,2675085,2064170,5462714,3983692,5768897,4874000,645279,4311673,6592674,1447326,2479457,2707341,3407158,4653632,2895855,679878,6184848,2682243,96214,372846,284467,1496261,3970184,180810,5551669,4732004,2328272,4223243,6884904
TC21001058.hg	TC21001058.hg	11	Complex Event	21:34958366-34959828	18-19,19-19	18-20	18-18,21-21	2001965,3398584,1008273,6633909,3908645,6631678,2853214,4008625,4448602,3861691	2329221,1142595,1598804,1950768	3403920,3476431,4722893,2737279,1480543,2287419,3364934,5104883,4695012,1889335,946266,2675085,2064170,5462714,3983692,5768897,4874000,645279,4311673,6592674,1447326,2479457,2707341,3407158,4653632,2895855,679878,6184848,2682243,96214,372846,284467,1496261,3970184,180810,5551669,4732004,2328272,4223243,6884904
TC21001058.hg	TC21001058.hg	12	Complex Event	21:34958487-34960627	20-20,20-21	19-21	18-18,21-21	5057241,3189573,633021,5594048,1555565,5463212,2314475,2738190,2974326,6072635	723782,821091,1631131,5306099	3403920,3476431,4722893,2737279,1480543,2287419,3364934,5104883,4695012,1889335,946266,2675085,2064170,5462714,3983692,5768897,4874000,645279,4311673,6592674,1447326,2479457,2707341,3407158,4653632,2895855,679878,6184848,2682243,96214,372846,284467,1496261,3970184,180810,5551669,4732004,2328272,4223243,6884904
