GeneName	GeneID	EventNumber	EventType	GPos	Path.1	Path.2	Path.Reference	tran_P1	tran_P2	tran_Ref
ENSG00000185252.17	1	5	Complex Event	22:20394334-20394563	7-7,7-8	5-8	8-8,8-9	ENST00000400451.6|ENST00000403682.7|ENST00000493734.5|ENST00000420626.1|ENST00000437275.5	ENST00000611540.4	ENST00000400451.6|ENST00000403682.7|ENST00000493734.5|ENST00000420626.1|ENST00000437275.5|ENST00000611540.4
ENSG00000185252.17	1	6	Retained Intron	22:20400758-20401277	16-17,17-17,17-18	16-18	18-18,18-19	ENST00000476678.1	ENST00000400451.6|ENST00000611540.4|ENST00000403682.7|ENST00000357502.5|ENST00000493734.5|ENST00000437275.5|ENST00000356671.6	ENST00000476678.1|ENST00000400451.6|ENST00000611540.4|ENST00000403682.7|ENST00000357502.5|ENST00000493734.5|ENST00000437275.5|ENST00000356671.6
ENSG00000185252.17	1	7	Retained Intron	22:20405519-20405521	20-21,21-21,21-22	20-22	19-20,20-20,22-22,24-24,26-26	ENST00000611540.4|ENST00000437275.5|ENST00000357502.5|ENST00000493734.5|ENST00000400451.6|ENST00000403682.7|ENST00000476678.1|ENST00000405993.2	ENST00000356671.6	ENST00000611540.4|ENST00000437275.5|ENST00000357502.5|ENST00000493734.5|ENST00000400451.6|ENST00000403682.7|ENST00000476678.1|ENST00000405993.2|ENST00000356671.6
ENSG00000185252.17	1	8	Retained Intron	22:20405529-20405531	22-23,23-23,23-24	22-24	19-20,20-20,22-22,24-24,26-26	ENST00000611540.4|ENST00000437275.5|ENST00000357502.5|ENST00000493734.5|ENST00000400451.6|ENST00000403682.7|ENST00000476678.1|ENST00000405993.2	ENST00000356671.6	ENST00000611540.4|ENST00000437275.5|ENST00000357502.5|ENST00000493734.5|ENST00000400451.6|ENST00000403682.7|ENST00000476678.1|ENST00000405993.2|ENST00000356671.6
ENSG00000185252.17	1	9	Retained Intron	22:20405554-20405556	24-25,25-25,25-26	24-26	19-20,20-20,22-22,24-24,26-26	ENST00000611540.4|ENST00000437275.5|ENST00000357502.5|ENST00000493734.5|ENST00000400451.6|ENST00000403682.7|ENST00000476678.1|ENST00000405993.2	ENST00000356671.6	ENST00000611540.4|ENST00000437275.5|ENST00000357502.5|ENST00000493734.5|ENST00000400451.6|ENST00000403682.7|ENST00000476678.1|ENST00000405993.2|ENST00000356671.6
ENSG00000185252.17	1	21	Complex Event	22:20395418-20400632	12-16	12-14	12-12	ENST00000400451.6|ENST00000611540.4|ENST00000357502.5|ENST00000493734.5|ENST00000405993.2|ENST00000356671.6	ENST00000437275.5	ENST00000493734.5|ENST00000400451.6|ENST00000611540.4|ENST00000357502.5|ENST00000437275.5|ENST00000405993.2|ENST00000356671.6
ENSG00000185252.17	1	22	Alternative First Exon	22:20395418-20399595	13-13,13-14	12-14	14-14	ENST00000476678.1	ENST00000437275.5	ENST00000476678.1|ENST00000437275.5
ENSG00000185252.17	1	23	Retained Intron	22:20399690-20400632	14-15,15-15,15-16	14-16	14-14	ENST00000476678.1	ENST00000437275.5	ENST00000476678.1|ENST00000437275.5
ENSG00000185252.17	1	24	Complex Event	22:20400758-20405377	18-18,18-19	16-19	16-16	ENST00000476678.1|ENST00000400451.6|ENST00000611540.4|ENST00000403682.7|ENST00000357502.5|ENST00000493734.5|ENST00000437275.5|ENST00000356671.6	ENST00000405993.2	ENST00000476678.1|ENST00000400451.6|ENST00000611540.4|ENST00000403682.7|ENST00000357502.5|ENST00000493734.5|ENST00000437275.5|ENST00000405993.2|ENST00000356671.6
ENSG00000185252.17	1	25	Complex Event	22:20394662-20405377	16-16	9-19	19-19	ENST00000476678.1|ENST00000400451.6|ENST00000611540.4|ENST00000403682.7|ENST00000357502.5|ENST00000493734.5|ENST00000437275.5|ENST00000405993.2|ENST00000356671.6	ENST00000420626.1	ENST00000611540.4|ENST00000437275.5|ENST00000357502.5|ENST00000493734.5|ENST00000400451.6|ENST00000403682.7|ENST00000476678.1|ENST00000405993.2|ENST00000356671.6|ENST00000420626.1
ENSG00000254709.7	2	1	Alternative 3' Splice Site	22:22888259-22893700	2-3,3-3,3-4	2-4	4-4,4-5	ENST00000532223.2	ENST00000526893.5	ENST00000532223.2|ENST00000526893.5
ENSG00000254709.7	2	3	Complex Event	22:22888259-22895375	4-4,4-5	2-5	2-2,5-5	ENST00000532223.2|ENST00000526893.5	ENST00000531372.1	ENST00000526893.5|ENST00000532223.2|ENST00000531372.1
